Jugadores,Nac.,Edad,Club,Liga,Contrato,Opción de contrato,Valor de mercado,Posición,Agencia
Jesús Pretell,Perú,25,Club Sporting Cristal,,2026,-,425 mil €,Pivote,Vibra Fútbol
Sergio Carrasco,Chile,19,CD Cobresal,,2025,-,400 mil €,Delantero centro,Vibra Fútbol
Nicolás Guerra,Chile,25,Universidad de Chile,,-,-,400 mil €,Delantero centro,Vibra Fútbol
Stefano Olaya,Perú,21,Cusco FC,,2024,-,400 mil €,Extremo izquierdo,Vibra Fútbol
Paolo Guajardo,Chile,21,Audax Italiano,,2027,-,400 mil €,Extremo izquierdo,Vibra Fútbol
Carlo Villanueva,Chile,25,CD Huachipato,,2025,-,400 mil €,Mediocentro ofensivo,Vibra Fútbol
Alejandro Hohberg,"Perú, Uruguay",33,Club Sporting Cristal,,2024,-,400 mil €,Extremo izquierdo,Vibra Fútbol
Luckas Carreño,Chile,21,Deportes La Serena,,-,-,400 mil €,Pivote,Vibra Fútbol
Gary Medel,"Chile, España",37,CA Boca Juniors,,2025,-,400 mil €,Defensa central,Vibra Fútbol
Oslimg Mora,Perú,25,Club Atlético Grau,,2024,-,400 mil €,Extremo derecho,Vibra Fútbol
Zacarías López,Chile,26,Deportes Antofagasta,,2024,-,400 mil €,Portero,Vibra Fútbol
Freddy Oncoy,Perú,24,Club Atlético Grau,,2024,-,375 mil €,Mediocentro,Vibra Fútbol
Óscar Pinto,Perú,22,Comerciantes Unidos,,2024,-,375 mil €,Extremo izquierdo,Vibra Fútbol
Elkin Muñoz,Ecuador,19,CS Emelec,,2027,-,350 mil €,Mediocentro ofensivo,Vibra Fútbol
Enzo Ferrario,"Chile, Italia",24,Unión La Calera,,2024,-,350 mil €,Defensa central,Vibra Fútbol
Diego Ulloa,Chile,21,Unión La Calera,,2024,-,350 mil €,Lateral izquierdo,Vibra Fútbol
Cristián Gutiérrez,"Canadá, Chile",27,Universidad de Concepción,,-,-,350 mil €,Lateral izquierdo,Vibra Fútbol
Esteban Matus,Chile,22,Audax Italiano,,-,-,350 mil €,Lateral izquierdo,Vibra Fútbol
Leonardo Valencia,Chile,33,CD Cobresal,,-,-,350 mil €,Mediocentro ofensivo,Vibra Fútbol
Claudio Torres,Chile,21,Deportes La Serena,,2024,-,350 mil €,Extremo derecho,Vibra Fútbol
Pablo Lavandeira,"Uruguay, Perú",34,FBC Melgar,,2025,-,350 mil €,Mediocentro ofensivo,Vibra Fútbol
Richard Paredes,Chile,26,Santiago Morning,,-,-,350 mil €,Delantero centro,Vibra Fútbol
Nicolás Orellana,Chile,29,Audax Italiano,,-,-,350 mil €,Extremo izquierdo,Vibra Fútbol
Piero Vivanco,Perú,24,Club Atlético Grau,,2024,-,325 mil €,Extremo derecho,Vibra Fútbol
Matías Dituro,"Argentina, Chile",37,Elche CF,2.Liga España,2025,-,300 mil €,Portero,Vibra Fútbol
Maicol León,Chile,21,CD Huachipato,,2024,-,300 mil €,Mediocentro,Vibra Fútbol
Gary Kagelmacher,"Uruguay, Alemania",36,CD Universidad Católica,,2024,-,300 mil €,Defensa central,Vibra Fútbol
Ignacio Tapia,Chile,25,Universidad de Chile,,2025,-,300 mil €,Defensa central,Vibra Fútbol
Arturo Vidal,Chile,37,CSD Colo-Colo,,2024,-,300 mil €,Mediocentro,Vibra Fútbol
Joaquín Tapia,Chile,20,CD O'Higgins,,-,-,300 mil €,Extremo derecho,Vibra Fútbol
Yerko Águila,Chile,28,CD Cobreloa,,2024,-,300 mil €,Lateral izquierdo,Vibra Fútbol
César Fuentes,Chile,31,CSD Colo-Colo,,2024,-,300 mil €,Pivote,Vibra Fútbol
Bryan Soto,Chile,23,Deportes Copiapó,,2024,-,300 mil €,Pivote,Vibra Fútbol
Jeisson Vargas,Chile,27,Sin equipo,,-,-,300 mil €,Extremo izquierdo,Vibra Fútbol
Juan Ignacio Figueroa,Chile,21,Deportes La Serena,,2024,-,300 mil €,Extremo derecho,Vibra Fútbol
Cristóbal Muñoz,"Chile, Italia",22,Universidad de Chile,,2024,-,300 mil €,Delantero centro,Vibra Fútbol
Pablo Parra,Chile,30,Unión La Calera,,-,-,300 mil €,Mediocentro ofensivo,Vibra Fútbol
Eduardo Caballero,Perú,27,Comerciantes Unidos,,-,-,300 mil €,Defensa central,Vibra Fútbol
