Player;stats_Nation;stats_Pos;stats_Squad;stats_Comp;stats_Age;stats_Born;stats_MP;stats_Starts;stats_Min;stats_90s;stats_Gls;stats_Ast;stats_G+A;stats_G-PK;stats_PK;stats_PKatt;stats_CrdY;stats_CrdR;stats_Gls_1;stats_Ast_2;stats_G+A_3;stats_G-PK_4;stats_G+A-PK
Cristóbal Campos;cl CHI;GK;U de Chile;Primera Division Chile;23;1999;21;21;1845;205;0;0;0;0;0;0;2;0;0;0;0;0;0
Franco García;ar ARG;MF,FW;Cobresal;Primera Division Chile;25;1997;30;19;1832;204;3;3;6;3;0;0;4;0;15;15;29;15;29
Leandro Fernández;ar ARG;FW;U de Chile;Primera Division Chile;31;1991;26;22;1831;203;10;3;13;8;2;2;11;0;49;15;64;39;54
Maximiliano Falcón;uy URU;DF;Colo-Colo;Primera Division Chile;25;1997;21;21;1819;202;0;1;1;0;0;0;8;3;0;5;5;0;5
Matías Campos López;cl CHI;FW;Everton;Primera Division Chile;31;1991;29;21;1819;202;7;2;9;7;0;0;3;0;35;10;45;35;45
Nicolás Guerra;cl CHI;FW;U de Chile;Primera Division Chile;24;1999;27;20;1816;202;6;1;7;6;0;0;4;1;30;5;35;30;35
Brayan Cortés;cl CHI;GK;Colo-Colo;Primera Division Chile;27;1995;21;21;1815;202;0;0;0;0;0;0;0;1;0;0;0;0;0
Julio Barroso;ar ARG;DF;Everton;Primera Division Chile;38;1985;22;22;1804;200;0;0;0;0;0;0;1;0;0;0;0;0;0
Cristián Zavala;cl CHI;MF,FW;Curico Unido;Primera Division Chile;23;1999;26;20;1801;200;1;8;9;1;0;0;8;0;5;40;45;5;45
Ramiro González Hernández;ar ARG;DF;Colo-Colo;Primera Division Chile;32;1990;22;20;1799;200;0;0;0;0;0;0;5;0;0;0;0;0;0
Juan Freytes;ar ARG;DF;La Calera;Primera Division Chile;23;2000;24;19;1796;200;2;0;2;2;0;0;6;0;10;0;10;10;10
Diego Buonanotte;ar ARG;FW,MF;La Calera;Primera Division Chile;34;1988;30;20;1786;198;3;6;9;3;0;0;3;0;15;30;45;15;45
Cristián Cuevas;cl CHI;MF,DF;Univ Católica;Primera Division Chile;27;1995;28;19;1782;198;2;6;8;2;0;0;8;0;10;30;40;10;40
Franco Bechtholdt;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;23;20;1775;197;0;0;0;0;0;0;7;0;0;0;0;0;0
Facundo Castro;uy URU;MF,FW;O'Higgins;Primera Division Chile;28;1995;26;21;1771;197;3;9;12;3;0;0;4;0;15;46;61;15;61
Francisco Salinas;cl CHI;DF;La Calera;Primera Division Chile;23;1999;25;21;1767;196;2;3;5;2;0;0;3;0;10;15;25;10;25
