Jugadores,Nac.,Edad,Club,Contrato,Valor de mercado,Posición,Agencia
Francisco Bustamante,Perú,24,Ecosem Pasco,-,-,Extremo derecho,Vibra Fútbol
Jems Tenorio,Perú,19,Universitario de Deportes II,-,-,Extremo derecho,Vibra Fútbol
Alec Deneumostier,"Perú, Bélgica",25,Universidad César Vallejo,2024,600 mil €,Defensa central,Vibra Fútbol
Alessandro Milesi,"Perú, Italia",24,Alianza Atlético Sullana,-,300 mil €,Lateral izquierdo,Vibra Fútbol
Franco Zanelatto,"Perú, Paraguay",24,Club Alianza Lima,2024,850 mil €,Extremo derecho,Vibra Fútbol
Alejandro Hohberg,"Perú, Uruguay",33,Club Sporting Cristal,2024,400 mil €,Extremo izquierdo,Vibra Fútbol
Gary Kagelmacher,"Uruguay, Alemania",36,CD Universidad Católica,2024,300 mil €,Defensa central,Vibra Fútbol
Pablo Lavandeira,"Uruguay, Perú",34,FBC Melgar,2025,350 mil €,Mediocentro ofensivo,Vibra Fútbol
Eduard Bello,Venezuela,29,Barcelona SC Guayaquil,2026,"1,50 mill. €",Mediapunta,Vibra Fútbol
Rómulo Otero,Venezuela,31,Santos FC,2024,800 mil €,Mediocentro ofensivo,Vibra Fútbol
Edwuin Pernía,Venezuela,29,Caracas FC,2025,300 mil €,Delantero centro,Vibra Fútbol
